colour	x	y	label	fill
#F8766D	0.625964194038152	0.900521509179652	1	#F8766D
#D89000	0.584908304950397	0.496055973136862	2	#D89000
#A3A500	0.492078951102879	0.393152870505096	3	#A3A500
#39B600	0.61460407894916	0.917806555599315	4	#39B600
#00BF7D	0.260939846002872	0.553257136998678	5	#00BF7D
#00BFC4	0.590428433568909	0.609585850215554	6	#00BFC4
#00B0F6	0.514015606044512	0.634681778545743	7	#00B0F6
#9590FF	0.210183669415368	0.818834634340608	8	#9590FF
#E76BF3	0.46186155433637	0.700178690625288	9	#E76BF3
#FF62BC	0.590442132254429	0.530659306497372	10	#FF62BC
