colour	x	y	label	fill
#F8766D	0.487761560126566	0.886058925930975	1	#F8766D
#D89000	0.76266031255708	0.710827662349977	2	#D89000
#A3A500	0.202109423264043	0.463947427500198	3	#A3A500
#39B600	0.522703294151437	0.71016028151917	4	#39B600
#00BF7D	0.392881411494344	0.625205328669355	5	#00BF7D
#00BFC4	0.36259547452456	0.575096122553769	6	#00BFC4
#00B0F6	0.390221959550347	0.603043775652631	7	#00B0F6
#9590FF	0.296330539355773	0.753272403392989	8	#9590FF
#E76BF3	0.582942658098816	0.669049537416733	9	#E76BF3
#FF62BC	0.498586958926231	0.692750667522509	10	#FF62BC
