colour	x	y	label	fill
#F8766D	0.764673951683969	0.874858133843665	1	#F8766D
#D89000	0.619620101718774	0.423541734775789	2	#D89000
#A3A500	0.42420061496042	0.308732593672513	3	#A3A500
#39B600	0.367714511200147	0.819409590549451	4	#39B600
#00BF7D	0.223575279717887	0.604495495112392	5	#00BF7D
#00BFC4	0.68476777595409	0.508630096850517	6	#00BFC4
#00B0F6	0.67572130647946	0.670309950976244	7	#00B0F6
#9590FF	0.343344410361604	0.68921549433869	8	#9590FF
#E76BF3	0.500833109896517	0.648689594470218	9	#E76BF3
#FF62BC	0.393783512243402	0.651347014960619	10	#FF62BC
