colour	x	y	label	fill
#F8766D	0.755331304887222	0.864944962564825	1	#F8766D
#D89000	0.357433572625714	0.642456901262277	2	#D89000
#A3A500	0.250180149232151	0.144687231533601	3	#A3A500
#39B600	0.283731732140341	0.916758529658031	4	#39B600
#00BF7D	0.366105018590993	0.569398864316969	5	#00BF7D
#00BFC4	0.693634091776758	0.443788877793161	6	#00BFC4
#00B0F6	0.77821966098479	0.707147057127165	7	#00B0F6
#9590FF	0.389117290037405	0.741313953012259	8	#9590FF
#E76BF3	0.482795409687219	0.693592237032737	9	#E76BF3
#FF62BC	0.249762178129227	0.698865962515043	10	#FF62BC
