colour	x	y	label	fill
#F8766D	0.543496074765291	0.801410115836461	1	#F8766D
#D89000	0.536973250744936	0.702071291635148	2	#D89000
#A3A500	0.377920796522602	0.583086462014633	3	#A3A500
#39B600	0.453137340373723	0.750094656331777	4	#39B600
#00BF7D	0.428517002878727	0.697127697101963	5	#00BF7D
#00BFC4	0.439958719418544	0.700806853686937	6	#00BFC4
#00B0F6	0.371940094738356	0.689882741041571	7	#00B0F6
#9590FF	0.30523174488357	0.685487062446794	8	#9590FF
#E76BF3	0.557486357965542	0.716375766518522	9	#E76BF3
#FF62BC	0.545584317567322	0.720710711854712	10	#FF62BC
