colour	x	y	label	fill
#F8766D	0.948355705669431	0.889847688259352	1	#F8766D
#D89000	0.246857044620909	0.543215135567968	2	#D89000
#A3A500	0.232424644552478	0.0599994962276818	3	#A3A500
#39B600	0.0490197703208629	0.874448423384465	4	#39B600
#00BF7D	0.388233250083333	0.540270642613641	5	#00BF7D
#00BFC4	0.426339778537764	0.504894998845507	6	#00BFC4
#00B0F6	0.940242771777817	0.786587108988473	7	#00B0F6
#9590FF	0.193146996143761	0.779948791394997	8	#9590FF
#E76BF3	0.656021984563924	0.496633984500737	9	#E76BF3
#FF62BC	0.322126173064243	0.856378609004487	10	#FF62BC
