colour	x	y	label	fill
#F8766D	0.586063765959254	0.954545454545455	1	#F8766D
#D89000	0.598066838749995	0.630643112878509	2	#D89000
#A3A500	0.305027366627321	0.393300544084046	3	#A3A500
#39B600	0.56476607674389	0.8011452026247	4	#39B600
#00BF7D	0.395986289860731	0.586790010080355	5	#00BF7D
#00BFC4	0.581569247679358	0.647492056323602	6	#00BFC4
#00B0F6	0.585797793394604	0.586877143173536	7	#00B0F6
#9590FF	0.263759724810397	0.748767775567591	8	#9590FF
#E76BF3	0.579739289137971	0.722805107531226	9	#E76BF3
#FF62BC	0.700074644272426	0.60837412086022	10	#FF62BC
